iter	Passed	Remaining
0	175	175019
1	178	89028
2	181	60398
3	184	46057
4	188	37450
5	191	31725
6	194	27646
7	198	24586
8	201	22186
9	204	20257
10	207	18695
11	211	17421
12	214	16315
13	218	15362
14	221	14537
15	224	13819
16	227	13183
17	231	12616
18	234	12106
19	237	11648
20	240	11229
21	244	10850
22	247	10509
23	250	10190
24	253	9899
25	257	9629
26	260	9382
27	263	9152
28	266	8933
29	270	8739
30	273	8552
31	276	8372
32	280	8208
33	283	8056
34	286	7906
35	289	7765
36	293	7631
37	296	7504
38	299	7387
39	302	7271
40	306	7162
41	309	7061
42	313	6967
43	316	6871
44	319	6780
45	323	6701
46	326	6619
47	329	6541
48	333	6463
49	336	6389
50	339	6320
51	342	6252
52	346	6184
53	349	6118
54	352	6055
55	355	5997
56	359	5939
57	362	5888
58	366	5839
59	369	5790
60	372	5740
61	376	5693
62	379	5644
63	382	5599
64	386	5555
65	389	5512
66	393	5473
67	396	5433
68	399	5391
69	402	5352
70	406	5313
71	409	5276
72	412	5238
73	415	5203
74	419	5168
75	422	5134
76	425	5100
77	428	5068
78	432	5040
79	435	5012
80	439	4983
81	442	4956
82	445	4926
83	449	4897
84	452	4868
85	455	4842
86	458	4815
87	462	4789
88	465	4763
89	468	4737
90	471	4712
91	474	4687
92	478	4663
93	481	4640
94	484	4615
95	487	4591
96	490	4569
97	494	4547
98	497	4526
99	500	4506
100	503	4484
101	507	4464
102	510	4444
103	513	4424
104	516	4405
105	520	4385
106	523	4368
107	526	4350
108	530	4332
109	533	4315
110	536	4297
111	539	4279
112	543	4265
113	546	4248
114	549	4232
115	553	4215
116	556	4198
117	559	4182
118	562	4167
119	566	4152
120	569	4137
121	572	4121
122	575	4106
123	579	4091
124	582	4076
125	585	4061
126	588	4046
127	592	4033
128	595	4019
129	598	4005
130	601	3991
131	604	3977
132	608	3964
133	611	3951
134	614	3937
135	617	3924
136	621	3912
137	624	3899
138	627	3886
139	630	3874
140	634	3863
141	637	3850
142	640	3838
143	643	3826
144	646	3814
145	650	3804
146	653	3793
147	657	3783
148	660	3771
149	663	3760
150	666	3748
151	669	3737
152	673	3726
153	676	3715
154	679	3704
155	682	3693
156	685	3682
157	688	3671
158	692	3660
159	695	3650
160	698	3640
161	701	3630
162	705	3621
163	708	3611
164	711	3602
165	715	3592
166	718	3582
167	721	3573
168	724	3563
169	727	3553
170	730	3540
171	733	3532
172	736	3522
173	740	3512
174	743	3503
175	746	3493
176	749	3484
177	752	3475
178	755	3467
179	759	3458
180	763	3452
181	766	3443
182	769	3434
183	772	3425
184	775	3417
185	778	3408
186	782	3399
187	785	3391
188	788	3383
189	791	3375
190	794	3367
191	798	3358
192	801	3350
193	804	3342
194	807	3334
195	811	3326
196	814	3318
197	817	3310
198	821	3304
199	824	3296
200	827	3288
201	830	3281
202	833	3273
203	837	3266
204	839	3256
205	843	3250
206	846	3242
207	849	3234
208	852	3226
209	855	3219
210	859	3212
211	862	3205
212	865	3198
213	868	3190
214	872	3185
215	875	3178
216	878	3171
217	881	3163
218	885	3156
219	888	3149
220	891	3142
221	894	3136
222	898	3129
223	901	3122
224	904	3115
225	908	3109
226	911	3104
227	914	3097
228	918	3091
229	921	3085
230	925	3080
231	929	3075
232	932	3069
233	935	3063
234	939	3057
235	942	3050
236	945	3043
237	948	3037
238	952	3031
239	955	3024
240	958	3018
241	961	3011
242	964	3005
243	968	2999
244	971	2993
245	974	2986
246	977	2979
247	980	2973
248	984	2967
249	987	2961
250	990	2955
251	993	2949
252	996	2943
253	999	2936
254	1003	2930
255	1006	2924
256	1009	2918
257	1012	2912
258	1015	2906
259	1019	2900
260	1022	2894
261	1025	2888
262	1028	2882
263	1031	2876
264	1035	2870
265	1038	2865
266	1041	2859
267	1044	2853
268	1047	2847
269	1051	2841
270	1054	2835
271	1057	2829
272	1060	2824
273	1063	2818
274	1066	2812
275	1070	2807
276	1073	2801
277	1076	2796
278	1079	2790
279	1083	2785
280	1086	2779
281	1089	2773
282	1092	2768
283	1096	2763
284	1099	2758
285	1102	2752
286	1105	2746
287	1108	2741
288	1112	2735
289	1115	2730
290	1118	2725
291	1121	2719
292	1124	2714
293	1128	2709
294	1131	2703
295	1134	2698
296	1137	2693
297	1141	2687
298	1144	2682
299	1147	2677
300	1150	2671
301	1153	2666
302	1156	2661
303	1159	2655
304	1163	2650
305	1166	2645
306	1169	2640
307	1172	2635
308	1176	2630
309	1179	2624
310	1182	2619
311	1185	2614
312	1188	2609
313	1192	2604
314	1195	2599
315	1198	2594
316	1202	2589
317	1205	2584
318	1208	2579
319	1211	2574
320	1215	2570
