iter	RMSE
0	10.47915712
1	8.281062014
2	6.583675608
3	5.492563827
4	4.68443215
5	4.100144471
6	3.640674215
7	3.28594844
8	2.960447547
9	2.765394389
10	2.578939054
11	2.460091787
12	2.320999658
13	2.210388258
14	2.106778961
15	2.033906995
16	1.972432922
17	1.920460316
18	1.862234038
19	1.804269085
20	1.733306196
21	1.643954624
22	1.575153188
23	1.515473335
24	1.489355932
25	1.432587878
26	1.366161729
27	1.325034557
28	1.280427069
29	1.23806621
30	1.199625174
31	1.151899575
32	1.11151828
33	1.087771497
34	1.050812732
35	1.019421211
36	0.9901245559
37	0.9620614568
38	0.9395261219
39	0.9114863555
40	0.9003300091
41	0.8788058837
42	0.8570783834
43	0.8287084857
44	0.7999419512
45	0.7781300052
46	0.7634912814
47	0.7477782395
48	0.7336780355
49	0.7196415992
